RaceId,RaceName,CourseId,CourseName,Off,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating,ResultStatus,FinishingPosition,BeatenDistance,OverallBeatenDistance,RaceTime,RaceTimeInSeconds,ForecastFractionalOdds,ForecastDecimalOdds,DaysSinceLastRun,FormFigures,PrizeMoney,PrizeMoneyValue,CardOfficialRating,CardRacingPostRating,CardTopSpeedRating,OwnerId,OwnerName,SireName,SireCountry,DamName,HeadgearFirstTime,GeldingFirstTime,WindSurgery,TrainerRtf,JockeyAllowanceLbs,JockeyFirstTime,NewTrainerRacesCount,CountryOfOrigin
925819,Matchbook Betting Exchange Supporting UK Racing Handicap,7,Brighton,09/01/2026 16:06:00,Other,Class 5,,0-75,3yo,None,5½f,5.5,1105,1210,Good,Turf,7529951,Loleeta,102043,Chloe Lyons,8543,Stuart Williams,3,,2,1,8-10,138,10/1,11,66,,,CompletedRace,1,0,0,00:01:02.2900000,62.29,7/1,8,24,-68255,"£4,187",4187,66,80,30,343451,No Fun Winning Alone Club,Tasleet,GB,Lolamotion,False,False,,52,7,False,,GB
925819,Matchbook Betting Exchange Supporting UK Racing Handicap,7,Brighton,09/01/2026 16:06:00,Other,Class 5,,0-75,3yo,None,5½f,5.5,1105,1210,Good,Turf,8406272,My Mate Mackley,99724,Tyler Heard,42921,Adam Kirby,3,p,5,6,8-5,133,5/1,6,54,,,CompletedRace,2,1.75,1.75,00:01:02.6400000,62.64,7/2,4.5,18,224213,"£4,187",4187,54,77,68,368987,Adam Kirby,Tasleet,GB,Royal Silk,False,False,,20,,False,,GB
925819,Matchbook Betting Exchange Supporting UK Racing Handicap,7,Brighton,09/01/2026 16:06:00,Other,Class 5,,0-75,3yo,None,5½f,5.5,1105,1210,Good,Turf,7020235,Beach Partee,83588,Kieran O'Neill,26099,Scott Dixon,3,v,4,4,8-7,135,5/2,3.5,56,,,CompletedRace,3,0.2,2,00:01:02.6900000,62.69,11/2,6.5,8,644283,"£4,187",4187,56,82,67,356686,Amphitheatre Racing Limited,Lope Y Fernandez,IRE,Parsnip,False,False,,42,,False,,GB
925819,Matchbook Betting Exchange Supporting UK Racing Handicap,7,Brighton,09/01/2026 16:06:00,Other,Class 5,,0-75,3yo,None,5½f,5.5,1105,1210,Good,Turf,7529936,Havana Jag,101550,Liam Wright,10308,John Gallagher,3,p1,3,3,8-6,134,5/1,6,58,,,CompletedRace,4,5.5,7.5,00:01:03.7900000,63.79,11/2,6.5,27,444233,"£4,187",4187,58,81,77,9991,H James,Havana Grey,GB,Poppy Jag,True,False,,33,3,True,,GB
925819,Matchbook Betting Exchange Supporting UK Racing Handicap,7,Brighton,09/01/2026 16:06:00,Other,Class 5,,0-75,3yo,None,5½f,5.5,1105,1210,Good,Turf,7020143,London Is Blue,98301,Marco Ghiani,12057,Robert Cowell,3,p,1,5,9-9,153,2/1F,3,72,,,CompletedRace,5,3.75,11.25,00:01:04.5400000,64.54,11/4,3.75,17,0-4202,"£4,187",4187,72,80,61,349609,S Geraghty,Territories,IRE,Tasman Sea,False,False,,36,,False,,GB
925819,Matchbook Betting Exchange Supporting UK Racing Handicap,7,Brighton,09/01/2026 16:06:00,Other,Class 5,,0-75,3yo,None,5½f,5.5,1105,1210,Good,Turf,7762494,Shining Guest,83746,Silvestre De Sousa,9796,George Margarson,3,,6,2,8-4,132,11/1,12,53,,,CompletedRace,6,13,24.25,00:01:07.1400000,67.14,100/30,4.333333333333334,27,67-652,"£4,187",4187,53,76,67,193155,John Guest Racing,Starman,GB,Under Offer,False,False,,57,,False,,IRE
925818,Bet £20 Get £40 In Free Bets At matchbook.com Restricted Maiden Stakes (Bands C/D) (GBB Race),7,Brighton,09/01/2026 16:36:00,Other,Class 5,,,3-5yo,None,7f,7,1407,1540,Good,Turf,7020185,Norfolk Blue,98301,Marco Ghiani,17966,William Knight,3,p,1,1,9-7,151,4/11F,1.3636363636363638,67,,,CompletedRace,1,0,0,00:01:23.6300000,83.63,4/7,1.5714285714285714,24,442525,"£4,187",4187,67,77,75,353938,Norfolk Thoroughbreds II,A'Ali,IRE,Kinderfrau,False,False,,60,,True,,IRE
925818,Bet £20 Get £40 In Free Bets At matchbook.com Restricted Maiden Stakes (Bands C/D) (GBB Race),7,Brighton,09/01/2026 16:36:00,Other,Class 5,,,3-5yo,None,7f,7,1407,1540,Good,Turf,9568646,Inspectre,95815,Darragh Keenan,41396,Gary & Josh Moore,3,,2,2,9-5,149,6/1,7,,,,CompletedRace,2,1,1,00:01:23.8300000,83.83,4/1,5,15,04,"£4,187",4187,,72,,351675,Jane Davis And Sara Mould,Inns Of Court,IRE,Sciarra,False,False,,42,,True,,IRE
925818,Bet £20 Get £40 In Free Bets At matchbook.com Restricted Maiden Stakes (Bands C/D) (GBB Race),7,Brighton,09/01/2026 16:36:00,Other,Class 5,,,3-5yo,None,7f,7,1407,1540,Good,Turf,7952272,Twilight Baby,100350,Saffie Osborne,6964,Gay Kelleway,3,,4,4,9-0,144,10/1,11,57,,,CompletedRace,3,3.5,4.5,00:01:24.5300000,84.53,13/2,7.5,44,9-83,"£4,187",4187,57,66,41,114925,Winterbeck Manor Stud,Twilight Son,GB,Yeah Baby Yeah,False,False,,100,,True,,GB
925818,Bet £20 Get £40 In Free Bets At matchbook.com Restricted Maiden Stakes (Bands C/D) (GBB Race),7,Brighton,09/01/2026 16:36:00,Other,Class 5,,,3-5yo,None,7f,7,1407,1540,Good,Turf,9350212,Muchacho,83746,Silvestre De Sousa,31785,Hilal Kobeissi,3,p1,3,3,9-5,149,15/2,8.5,,,,CompletedRace,4,9.5,14,00:01:26.4300000,86.43,11/2,6.5,75,43,"£4,187",4187,,61,26,253671,Al Jasra Racing,Ardad,IRE,Lorelei Rock,True,True,,,,True,,IRE
925821,"#matchbooklovesracing ""Confined"" Handicap (For Horses Who Have Not Won A Race In 2026)",7,Brighton,09/01/2026 17:06:00,Other,Class 6,,0-55,3yo+,None,1m2f,10,2010,2200,Good,Turf,3425678,Jenson Benson,87589,Gina Mangan,14024,Shaun Lycett,8,p,2,2,9-6,150,9/2,5.5,52,,,CompletedRace,1,0,0,00:02:04.2400000,124.24,7/2,4.5,31,8465-2,"£3,454",3454,52,69,35,220327,L & M Atkins,Kodi Bear,IRE,Star Fire,False,False,,100,,False,,IRE
925821,"#matchbooklovesracing ""Confined"" Handicap (For Horses Who Have Not Won A Race In 2026)",7,Brighton,09/01/2026 17:06:00,Other,Class 6,,0-55,3yo+,None,1m2f,10,2010,2200,Good,Turf,6261007,Makes Me Wonder,100868,Taryn Langley,16143,David Simcock,4,,1,8,9-4,148,3/1F,4,55,,,CompletedRace,2,0.75,0.75,00:02:04.3900000,124.39,5/2,3.5,17,244-82,"£3,454",3454,55,67,,283613,John Cook & Partner,Holy Roman Emperor,IRE,Lights On Me,False,False,,82,5,False,,GB
925821,"#matchbooklovesracing ""Confined"" Handicap (For Horses Who Have Not Won A Race In 2026)",7,Brighton,09/01/2026 17:06:00,Other,Class 6,,0-55,3yo+,None,1m2f,10,2010,2200,Good,Turf,5186091,Thundering Breeze,95785,Finley Marsh,41396,Gary & Josh Moore,5,,7,4,9-0,144,15/2,8.5,46,,,CompletedRace,3,0.2,1,00:02:04.4400000,124.44,15/2,8.5,25,5-2746,"£3,454",3454,46,67,32,306479,Neal And Sheralee Grayston,Dark Angel,IRE,Tamarisk,False,False,,42,,False,,IRE
925821,"#matchbooklovesracing ""Confined"" Handicap (For Horses Who Have Not Won A Race In 2026)",7,Brighton,09/01/2026 17:06:00,Other,Class 6,,0-55,3yo+,None,1m2f,10,2010,2200,Good,Turf,4320833,Twilight Guest,83746,Silvestre De Sousa,9796,George Margarson,6,p,8,1,9-0,144,10/1,11,46,,,CompletedRace,4,1,2,00:02:04.6400000,124.64,12/1,13,35,076446,"£3,454",3454,46,62,35,193155,John Guest Racing,Twilight Son,GB,Astrosecret,False,False,,57,,True,,GB
925821,"#matchbooklovesracing ""Confined"" Handicap (For Horses Who Have Not Won A Race In 2026)",7,Brighton,09/01/2026 17:06:00,Other,Class 6,,0-55,3yo+,None,1m2f,10,2010,2200,Good,Turf,4310837,Oh So Audacious,100350,Saffie Osborne,39483,Jack Jones,7,p,6,5,9-0,144,12/1,13,46,,,CompletedRace,5,0.5,2.5,00:02:04.7400000,124.74,13/2,7.5,18,-84944,"£3,454",3454,46,62,48,147821,The Eight Of Diamonds,Mukhadram,GB,Oh So Saucy,False,False,,57,,True,,GB
925821,"#matchbooklovesracing ""Confined"" Handicap (For Horses Who Have Not Won A Race In 2026)",7,Brighton,09/01/2026 17:06:00,Other,Class 6,,0-55,3yo+,None,1m2f,10,2010,2200,Good,Turf,8463842,Delevingne Dream,94575,George Wood,38304,Harry Eustace,3,p,5,3,9-2,146,9/1,10,54,,,CompletedRace,6,2.25,4.75,00:02:05.1900000,125.19,10/1,11,14,0-0775,"£3,454",3454,54,63,41,365137,Cj Thoroughbreds And Partners,Churchill,IRE,Sweet Dream,False,False,,69,,False,,IRE
925821,"#matchbooklovesracing ""Confined"" Handicap (For Horses Who Have Not Won A Race In 2026)",7,Brighton,09/01/2026 17:06:00,Other,Class 6,,0-55,3yo+,None,1m2f,10,2010,2200,Good,Turf,7139146,All About George,92801,Josephine Gordon,25857,Keiran Burke,4,v1,9,10,9-0,144,11/2,6.5,46,,,CompletedRace,7,5.5,10.25,00:02:06.2900000,126.29,8/1,9,18,-75438,"£3,454",3454,46,62,48,304850,Mrs Michelle Anne Crook,Tasleet,GB,Roshina,True,False,,100,,False,,GB
925821,"#matchbooklovesracing ""Confined"" Handicap (For Horses Who Have Not Won A Race In 2026)",7,Brighton,09/01/2026 17:06:00,Other,Class 6,,0-55,3yo+,None,1m2f,10,2010,2200,Good,Turf,7861448,Maryland Star,83588,Kieran O'Neill,15107,Dean Ivory,3,h,10,7,8-8,136,11/1,12,46,,,CompletedRace,8,1.5,11.75,00:02:06.5900000,126.59,20/1,21,5,380579,"£3,454",3454,46,62,37,126770,Radlett Racing,Cable Bay,IRE,All Things Gold,False,False,,40,,True,,GB
925821,"#matchbooklovesracing ""Confined"" Handicap (For Horses Who Have Not Won A Race In 2026)",7,Brighton,09/01/2026 17:06:00,Other,Class 6,,0-55,3yo+,None,1m2f,10,2010,2200,Good,Turf,7622794,Quite Sweet,84882,William Carson,9714,Tony Carroll,4,,3,9,9-5,149,22/1,23,51,,,CompletedRace,9,0.1,11.75,00:02:06.5900000,126.59,14/1,15,27,7-6094,"£3,454",3454,51,65,18,118151,Wedgewood Estates,Rio De La Plata,USA,Shoyd,False,False,,40,,False,,FR
925821,"#matchbooklovesracing ""Confined"" Handicap (For Horses Who Have Not Won A Race In 2026)",7,Brighton,09/01/2026 17:06:00,Other,Class 6,,0-55,3yo+,None,1m2f,10,2010,2200,Good,Turf,58956171,Sangara,96836,George Bass,6505,Sheena West,4,h,4,6,9-2,146,10/1,11,48,,,CompletedRace,10,1.25,13,00:02:06.8400000,126.84,14/1,15,8,030-55,"£3,454",3454,48,66,49,44469,Miss Sheena West,Bungle Inthejungle,GB,Jeremys Joy,False,False,,25,,False,,IRE
925820,Follow Matchbook On X Handicap,7,Brighton,09/01/2026 17:40:00,Other,Class 6,,0-55,4yo+,None,1m4f,12,2412,2640,Good,Turf,2057725,Bug Boy,100868,Taryn Langley,8776,Tony Newcombe,10,,2,8,9-3,147,22/1,23,54,,,CompletedRace,1,0,0,00:02:33.6200000,153.62,25/1,26,48,4/5-67,"£3,454",3454,54,63,39,211084,Dr S P Hargreaves,Big Bad Bob,IRE,Velvetina,False,False,,,5,False,,IRE
925820,Follow Matchbook On X Handicap,7,Brighton,09/01/2026 17:40:00,Other,Class 6,,0-55,4yo+,None,1m4f,12,2412,2640,Good,Turf,6974143,Highland Harvey,95815,Darragh Keenan,43174,Gihan Arnolda,4,,4,3,9-6,150,7/4F,2.75,52,,,CompletedRace,2,0.3,0.3,00:02:33.6800000,153.68,7/2,4.5,9,521333,"£3,454",3454,52,67,50,339918,Chris Housego,Highland Reel,IRE,Perfecimperfection,False,False,,57,,True,,IRE
925820,Follow Matchbook On X Handicap,7,Brighton,09/01/2026 17:40:00,Other,Class 6,,0-55,4yo+,None,1m4f,12,2412,2640,Good,Turf,5598638,Clipsham Noble,101550,Liam Wright,41928,Charlie Clover,4,p,5,4,9-2,146,6/1,7,51,,,CompletedRace,3,0.3,0.5,00:02:33.7200000,153.72,3/1,4,23,414614,"£3,454",3454,51,65,56,266992,F Morley,Mehmas,IRE,Not Misbegotten,False,False,,67,3,False,,IRE
925820,Follow Matchbook On X Handicap,7,Brighton,09/01/2026 17:40:00,Other,Class 6,,0-55,4yo+,None,1m4f,12,2412,2640,Good,Turf,4348730,Foinix,95785,Finley Marsh,39840,Jim & Suzi Best,6,b,3,2,9-6,150,11/1,12,52,,,CompletedRace,4,1.25,1.75,00:02:33.9700000,153.97,10/1,11,14,773217,"£3,454",3454,52,64,41,376969,"J Pook, J May, S Holden, T Helliwell",Phoenix Reach,IRE,Yeah Baby Yeah,False,False,,36,,False,,GB
925820,Follow Matchbook On X Handicap,7,Brighton,09/01/2026 17:40:00,Other,Class 6,,0-55,4yo+,None,1m4f,12,2412,2640,Good,Turf,7015791,La Trinite,89627,Charles Bishop,7236,Neil King,4,,6,1,9-2,146,4/1,5,48,,,CompletedRace,5,0.2,2,00:02:34.0200000,154.02,5/1,6,35,69-233,"£3,454",3454,48,65,55,203996,J L Rowsell,Time Test,GB,Silken Ocean,False,False,,,,True,,GB
925820,Follow Matchbook On X Handicap,7,Brighton,09/01/2026 17:40:00,Other,Class 6,,0-55,4yo+,None,1m4f,12,2412,2640,Good,Turf,6120963,Gretna Dreams,104790,Harry Vigors,8543,Stuart Williams,4,,1,7,9-4,148,4/1,5,55,,,CompletedRace,6,0.5,2.5,00:02:34.1200000,154.12,4/1,5,18,7-7B36,"£3,454",3454,55,67,46,313102,"J Sarkar, D Sarkar, O Sarkar & D Sarkar",Ghaiyyath,IRE,Elope,False,False,,52,5,True,,IRE
925820,Follow Matchbook On X Handicap,7,Brighton,09/01/2026 17:40:00,Other,Class 6,,0-55,4yo+,None,1m4f,12,2412,2640,Good,Turf,8481037,Winston's Oath,94575,George Wood,40072,James Owen,4,b1,8,5,9-0,144,20/1,21,46,,,CompletedRace,7,3.5,6,00:02:34.8200000,154.82,8/1,9,19,446,"£3,454",3454,46,54,28,375585,T Parry,Churchill,IRE,Honor Bound,True,False,,51,,True,,IRE
925820,Follow Matchbook On X Handicap,7,Brighton,09/01/2026 17:40:00,Other,Class 6,,0-55,4yo+,None,1m4f,12,2412,2640,Good,Turf,5982513,Fitzmaurice,83746,Silvestre De Sousa,9714,Tony Carroll,4,,7,6,9-0,144,11/1,12,46,,,CompletedRace,8,21,27,00:02:39.0200000,159.02,15/2,8.5,25,687852,"£3,454",3454,46,64,51,56434,A W Carroll,Wootton Bassett,GB,Always A Dream,False,False,,40,,True,,IRE
925822,Download The Matchbook App Handicap,7,Brighton,09/01/2026 18:15:00,Other,Class 6,,0-55,3yo+,None,1m,8,1608,1760,Good,Turf,7771197,Shes Got The Blues,83746,Silvestre De Sousa,9714,Tony Carroll,3,,2,8,9-6,150,100/30,4.333333333333334,55,,,CompletedRace,1,0,0,00:01:35.7500000,95.75,9/4,3.25,25,541133,"£3,454",3454,55,63,56,203850,Ian Furlong,Space Blues,IRE,Valtina,False,False,,40,,True,,IRE
925822,Download The Matchbook App Handicap,7,Brighton,09/01/2026 18:15:00,Other,Class 6,,0-55,3yo+,None,1m,8,1608,1760,Good,Turf,5172490,King David,100350,Saffie Osborne,6964,Gay Kelleway,5,b,1,7,9-9,153,2/1F,3,53,,,CompletedRace,2,3,3,00:01:36.3500000,96.35,7/2,4.5,8,478952,"£3,454",3454,53,68,59,373832,"Moynihan,Crew,Patterson,Brian,Kelleway",Exceed And Excel,AUS,Lady Rosamunde,False,False,,100,,False,,IRE
925822,Download The Matchbook App Handicap,7,Brighton,09/01/2026 18:15:00,Other,Class 6,,0-55,3yo+,None,1m,8,1608,1760,Good,Turf,6287972,Turpin,101550,Liam Wright,15108,Jim Boyle,4,p1,7,1,9-0,144,14/1,15,47,,,CompletedRace,3,1.5,4.5,00:01:36.6500000,96.65,13/2,7.5,14,759536,"£3,454",3454,47,63,32,190298,The Clean Sweep Partnership,Aclaim,IRE,Black Bess,True,False,,54,3,True,,GB
925822,Download The Matchbook App Handicap,7,Brighton,09/01/2026 18:15:00,Other,Class 6,,0-55,3yo+,None,1m,8,1608,1760,Good,Turf,3212573,Rainbow Sign,99724,Tyler Heard,32769,Mark Pattinson,8,t,8,3,9-3,147,12/1,13,47,,,CompletedRace,4,1,5.5,00:01:36.8500000,96.85,8/1,9,27,354273,"£3,454",3454,47,65,44,319526,Forever Amber,Adaay,IRE,Pax Aeterna,False,False,,80,,False,,GB
925822,Download The Matchbook App Handicap,7,Brighton,09/01/2026 18:15:00,Other,Class 6,,0-55,3yo+,None,1m,8,1608,1760,Good,Turf,6202581,Rock Master,98301,Marco Ghiani,9714,Tony Carroll,4,,9,5,9-1,145,25/1,26,45,,,CompletedRace,5,1.75,7.25,00:01:37.2000000,97.2,14/1,15,26,880664,"£3,454",3454,45,54,36,56434,A W Carroll,Mehmas,IRE,Miss Gibraltar,False,False,,40,,False,,IRE
925822,Download The Matchbook App Handicap,7,Brighton,09/01/2026 18:15:00,Other,Class 6,,0-55,3yo+,None,1m,8,1608,1760,Good,Turf,6224694,Letsbeatsepsis,98254,Rhys Clutterbuck,41396,Gary & Josh Moore,4,p,3,4,9-6,150,7/2,4.5,50,,,CompletedRace,6,1.75,9,00:01:37.5500000,97.55,5/1,6,18,304317,"£3,454",3454,50,65,54,191236,P B Moorhead,Expert Eye,GB,Lady Morpheus,False,False,,42,,False,,GB
925822,Download The Matchbook App Handicap,7,Brighton,09/01/2026 18:15:00,Other,Class 6,,0-55,3yo+,None,1m,8,1608,1760,Good,Turf,2167294,James Park Woods,92436,Ben Ffrench Davis,8683,Dominic Ffrench Davis,10,,6,6,8-13,141,28/1,29,48,,,CompletedRace,7,1.25,10.25,00:01:37.8000000,97.8,20/1,21,80,67-076,"£3,454",3454,48,62,38,291900,Philip Banfield & Dominic Ffrench Davis,Australia,GB,Happy Holly,False,False,,33,5,False,,IRE
925822,Download The Matchbook App Handicap,7,Brighton,09/01/2026 18:15:00,Other,Class 6,,0-55,3yo+,None,1m,8,1608,1760,Good,Turf,8362108,Avispado,103198,Jack Doughty,29411,David Menuisier,3,h,4,9,9-5,149,22/1,23,54,,,CompletedRace,8,1.25,11.5,00:01:38.0500000,98.05,10/1,11,59,9-0547,"£3,454",3454,54,63,39,364234,I Bandres Iglesias,Victor Ludorum,GB,Bartira,False,False,,36,,True,,IRE
925822,Download The Matchbook App Handicap,7,Brighton,09/01/2026 18:15:00,Other,Class 6,,0-55,3yo+,None,1m,8,1608,1760,Good,Turf,3437857,The Spotlight Kid,83588,Kieran O'Neill,15107,Dean Ivory,7,b,5,2,9-5,149,15/2,8.5,49,,,CompletedRace,9,2.25,13.75,00:01:38.5000000,98.5,16/1,17,16,435360,"£3,454",3454,49,62,45,189571,John Marsden,Mayson,GB,Marjong,False,False,,40,,False,,GB
925817,Streamline Supports The Martlets Hospice Handicap,7,Brighton,09/01/2026 18:45:00,Other,Class 5,,0-75,3yo+,None,7f,7,1407,1540,Good,Turf,6074545,Tattie Bogle,98301,Marco Ghiani,40131,Charlie Johnston,4,p,3,4,9-13,157,9/4,3.25,73,,,CompletedRace,1,0,0,00:01:21.6100000,81.61,7/2,4.5,20,127228,"£4,187",4187,73,82,73,255625,Kingsley Park Owners Club,Outstrip,GB,Tottie,False,False,,50,,True,,GB
925817,Streamline Supports The Martlets Hospice Handicap,7,Brighton,09/01/2026 18:45:00,Other,Class 5,,0-75,3yo+,None,7f,7,1407,1540,Good,Turf,5118327,Serenity Dream,103198,Jack Doughty,9714,Tony Carroll,5,p,1,3,10-0,160,2/1F,3,74,,,CompletedRace,2,1.25,1.25,00:01:21.8600000,81.86,6/4,2.5,26,856211,"£4,187",4187,74,79,68,357914,Eggselltrading Ltd,Night Of Thunder,IRE,Playfull Spirit,False,False,,40,,False,,IRE
925817,Streamline Supports The Martlets Hospice Handicap,7,Brighton,09/01/2026 18:45:00,Other,Class 5,,0-75,3yo+,None,7f,7,1407,1540,Good,Turf,4737872,Shaw Park,83588,Kieran O'Neill,26099,Scott Dixon,7,,4,5,9-7,151,100/30,4.333333333333334,67,,,CompletedRace,3,3.75,5,00:01:22.6100000,82.61,8/1,9,14,-83084,"£4,187",4187,67,83,41,356686,Amphitheatre Racing Limited,Aclaim,IRE,Waterways,False,False,,42,,False,,IRE
925817,Streamline Supports The Martlets Hospice Handicap,7,Brighton,09/01/2026 18:45:00,Other,Class 5,,0-75,3yo+,None,7f,7,1407,1540,Good,Turf,3886662,Dion Baker,95815,Darragh Keenan,14013,Michael Wigham,7,p,2,2,9-13,157,5/1,6,73,,,CompletedRace,4,5.5,10.5,00:01:23.7100000,83.71,7/2,4.5,9,113829,"£4,187",4187,73,79,65,320552,Carl Appleton & Peter Edwards,Ribchester,IRE,Tiga Tuan,False,False,,60,,False,,IRE
925817,Streamline Supports The Martlets Hospice Handicap,7,Brighton,09/01/2026 18:45:00,Other,Class 5,,0-75,3yo+,None,7f,7,1407,1540,Good,Turf,3763201,Fai Fai,104790,Harry Vigors,27282,Daniel Steele,7,t,6,6,8-4,132,50/1,51,55,,,CompletedRace,5,0.5,11,00:01:23.8100000,83.81,25/1,26,84,33-073,"£4,187",4187,55,73,26,369736,Steele Going Strong Partnership,Acclamation,GB,Sabratah,False,False,,,5,True,,GB
925817,Streamline Supports The Martlets Hospice Handicap,7,Brighton,09/01/2026 18:45:00,Other,Class 5,,0-75,3yo+,None,7f,7,1407,1540,Good,Turf,7966352,Station Bar,89627,Charles Bishop,18920,Eve Johnson Houghton,3,p1,5,1,9-2,146,14/1,15,66,,,CompletedRace,6,3,14,00:01:24.4100000,84.41,5/1,6,28,468154,"£4,187",4187,66,77,76,17155,Mrs R F Johnson Houghton,Oasis Dream,GB,Madame Tantzy,True,False,,39,,False,,GB
925816,Streamline Taxis - Always Going The Distance Handicap,7,Brighton,09/01/2026 19:15:00,Other,Class 5,,0-75,4yo+,None,5½f,5.5,1105,1210,Good,Turf,4303357,Diomed Spirit,100350,Saffie Osborne,19837,Chris Gordon,6,,6,2,8-6,134,2/1J,3,58,,,CompletedRace,1,0,0,00:01:01.2600000,61.26,5/4,2.25,9,636212,"£4,187",4187,58,88,77,125626,Mrs Kate Digweed,Charm Spirit,IRE,Dainty Dandy,False,False,,40,,True,,GB
925816,Streamline Taxis - Always Going The Distance Handicap,7,Brighton,09/01/2026 19:15:00,Other,Class 5,,0-75,4yo+,None,5½f,5.5,1105,1210,Good,Turf,5340234,Bona Fortuna,95785,Finley Marsh,10363,Michael Appleby,5,t,1,6,9-9,153,5/2,3.5,75,,,CompletedRace,2,0.75,0.75,00:01:01.4100000,61.41,7/2,4.5,25,2226-6,"£4,187",4187,75,84,77,358446,Value Racing - Bona Fortuna,Mehmas,IRE,Ajla,False,False,,29,,False,,IRE
925816,Streamline Taxis - Always Going The Distance Handicap,7,Brighton,09/01/2026 19:15:00,Other,Class 5,,0-75,4yo+,None,5½f,5.5,1105,1210,Good,Turf,5708810,Mr Cool,98301,Marco Ghiani,40131,Charlie Johnston,4,,2,4,9-5,149,2/1J,3,71,,,CompletedRace,3,1.5,2.25,00:01:01.7100000,61.71,3/1,4,10,523131,"£4,187",4187,71,85,69,61576,Middleham Park Racing IX,Kodiac,GB,Moojha,False,False,,50,,True,,IRE
925816,Streamline Taxis - Always Going The Distance Handicap,7,Brighton,09/01/2026 19:15:00,Other,Class 5,,0-75,4yo+,None,5½f,5.5,1105,1210,Good,Turf,3142198,Ancient Times,94575,George Wood,38304,Harry Eustace,8,t,3,1,9-1,145,7/1,8,67,,,CompletedRace,4,0.5,2.75,00:01:01.8100000,61.81,7/1,8,25,0-0129,"£4,187",4187,67,88,79,178651,The MacDougall Two,Exceed And Excel,AUS,Oriental Step,False,False,,69,,False,,GB
925816,Streamline Taxis - Always Going The Distance Handicap,7,Brighton,09/01/2026 19:15:00,Other,Class 5,,0-75,4yo+,None,5½f,5.5,1105,1210,Good,Turf,2755571,Pop Dancer,83746,Silvestre De Sousa,9714,Tony Carroll,9,,5,3,8-7,135,33/1,34,59,,,CompletedRace,5,8,10.75,00:01:03.4100000,63.41,12/1,13,27,1200-6,"£4,187",4187,59,83,48,353411,Dr S Fleming,Kodiac,GB,Pop Art,False,False,,40,,False,,IRE
925816,Streamline Taxis - Always Going The Distance Handicap,7,Brighton,09/01/2026 19:15:00,Other,Class 5,,0-75,4yo+,None,5½f,5.5,1105,1210,Good,Turf,3493745,Crypto Quest,83588,Kieran O'Neill,26099,Scott Dixon,7,,4,5,8-13,141,25/1,26,65,,,CompletedRace,6,14,24.75,00:01:06.2100000,66.21,33/1,34,5,4023/0,"£4,187",4187,65,83,,356686,Amphitheatre Racing Limited,Profitable,IRE,Viking Fair,False,False,,42,,False,,IRE
927835,Irish Stallion Farms EBF Fillies Maiden,184,Gowran Park (IRE),09/01/2026 14:00:00,Other,,,,2yo,Fillies,7f,7,1407,1540,Yielding,Turf,9763543,Curracloe,97031,Ben Coen,28180,J P Murtagh,2,,4,14,9-2,146,22/1,23,,,63,CompletedRace,1,0,0,00:01:28.5600000,88.56,12/1,13,,,"€12,958",12958,,,,203468,Qatar Racing Limited,Baaeed,GB,Sassy Little Lila,False,False,,38,,False,,USA
927835,Irish Stallion Farms EBF Fillies Maiden,184,Gowran Park (IRE),09/01/2026 14:00:00,Other,,,,2yo,Fillies,7f,7,1407,1540,Yielding,Turf,9286493,Snowing,76602,Wayne Lordan,7978,A P O'Brien,2,,12,2,9-2,146,9/4,3.25,,,54,CompletedRace,2,3.25,3.25,00:01:29.3725000,89.3725,3/1,4,23,526,"€12,958",12958,,80,77,294590,M Tabor & D Smith & Mrs J Magnier & Westerberg,No Nay Never,USA,Nictate,False,False,,51,,False,,IRE
927835,Irish Stallion Farms EBF Fillies Maiden,184,Gowran Park (IRE),09/01/2026 14:00:00,Other,,,,2yo,Fillies,7f,7,1407,1540,Yielding,Turf,9693258,Zenith Blaze,89959,Colin Keane,32145,Joseph Patrick O'Brien,2,,16,5,9-2,146,EvensF,2,,,51,CompletedRace,3,1.25,4.5,00:01:29.6850000,89.685,4/1,5,12,2,"€12,958",12958,,88,74,301671,Juddmonte,Kingman,GB,Heliac,False,False,,58,,True,,GB
927835,Irish Stallion Farms EBF Fillies Maiden,184,Gowran Park (IRE),09/01/2026 14:00:00,Other,,,,2yo,Fillies,7f,7,1407,1540,Yielding,Turf,9300195,Alpine Wedding,81425,W J Lee,26547,P Twomey,2,,2,18,9-2,146,6/1,7,90,,49,CompletedRace,4,0.5,5,00:01:29.8100000,89.81,100/30,4.333333333333334,18,535,"€12,958",12958,90,93,91,51943,Patrick Hale,Sioux Nation,USA,Wedding Dress,False,False,,46,,False,,IRE
927835,Irish Stallion Farms EBF Fillies Maiden,184,Gowran Park (IRE),09/01/2026 14:00:00,Other,,,,2yo,Fillies,7f,7,1407,1540,Yielding,Turf,9382601,Ocean Surge,13203,Declan McDonogh,20409,W McCreery,2,,17,1,9-2,146,50/1,51,,,43,CompletedRace,5,2.25,7.25,00:01:30.3725000,90.3725,,,,,,,,,,,,,,,,,,,,,,
